Train/Value,Time/Buffer,Train/Action_abs_mean,Train/control_penalty,Time/Actor_Time,Train/PolicyClip,Train/Grad_norm_actor,Train/policy_loss,Train/Action_magnitude_L1,Train/Entropy_Loss,Train/Ratio,Train/Policy_loss,Train/V,Train/Action_max,Train/Loss,Time/B_Original_Format_Time,Train/Return,Train/LogProb,Train/Action_std,Time/Critic_Time,Train/Action_magnitude,Time/B_Format_Time,Itr,train/batch_reward,Train/Entropy_loss,Train/recon_loss,Train/Entropy
2.9013314,0.00032591819763183594,0.62780136,1.1845535,0.009425163269042969,0.02461168,0.0,-0.0058311606,1.5132715,-0.0003625367283821106,0.9834663,-0.0058311606,2.9013314,0.5332537,0.005651837,0.004142284393310547,2.9021308,-0.9560858,0.5202787,1.1920928955078125e-06,1.1825312,0.003596067428588867,49,0.055,-0.0003625367283821106,0.0,0.36253673
2.1076205,0.0003790855407714844,0.6287529,1.2754412,0.009948968887329102,0.040806085,0.0,-0.13210654,1.6372463,-0.0003738806247711182,1.0306292,-0.13210654,2.1076205,0.46714944,-0.11972602,0.0033998489379882812,2.2213163,-0.886031,0.54844904,0.0,1.2526693,0.003415822982788086,50,0.06,-0.0003738806247711182,0.0,0.37388062
2.648878,0.0005447864532470703,0.587029,1.1453766,0.009464025497436523,0.03563457,0.0,0.033606514,1.4550667,-0.00013704068958759309,0.917876,0.033606514,2.648878,0.4857753,0.04492324,0.003378152847290039,2.59879,-0.9483122,0.42993745,0.0,1.1452619,0.003237009048461914,51,0.06,-0.00013704068958759309,0.0,0.13704069
2.1525962,0.0005347728729248047,0.681181,1.259559,0.00923299789428711,0.031001426,0.0,0.017341265,1.6444123,-0.00028835073113441466,0.92050964,0.017341265,2.1525962,0.6823174,0.029648505,0.0037190914154052734,2.1218483,-0.8329981,0.49395978,0.0,1.3033929,0.003314971923828125,52,0.065,-0.00028835073113441466,0.0,0.28835073
2.2500274,0.00040602684020996094,0.65710473,1.2908568,0.00904083251953125,0.057987913,0.0,-0.09381925,1.5311905,-0.0002622484266757965,0.9293284,-0.09381925,2.2500274,0.5954426,-0.08117293,0.0035719871520996094,2.3184981,-0.75852203,0.48530528,0.0,1.1869378,0.0035750865936279297,53,0.06,-0.0002622484266757965,0.0,0.26224843
2.7453911,0.0003688335418701172,0.75779444,1.473011,0.008977890014648438,0.03360471,0.0,-0.20457724,1.7258953,-0.00022013092041015626,0.93901765,-0.20457724,2.7453911,0.4311447,-0.19006726,0.0036411285400390625,2.937885,-0.8116415,0.46826363,0.0,1.3352536,0.003797292709350586,54,0.07,-0.00022013092041015626,0.0,0.22013092
2.1108794,0.00042128562927246094,0.7395192,1.283089,0.00923609733581543,0.03889414,0.0,-0.14264569,1.602395,-8.871126174926758e-05,1.0317096,-0.14264569,2.1108794,0.46171924,-0.12990351,0.0035660266876220703,2.248996,-0.3800471,0.3726609,0.0,1.2604995,0.0034558773040771484,55,0.06,-8.871126174926758e-05,0.0,0.08871126
2.3383188,0.0004279613494873047,0.7247222,1.2735637,0.009747982025146484,0.06421179,0.0,-0.086746275,1.6751372,-8.091174066066743e-05,1.0273966,-0.086746275,2.3383188,0.33552283,-0.07409155,0.003481149673461914,2.4100926,-0.57966906,0.39316282,0.0,1.2965742,0.0037178993225097656,56,0.06,-8.091174066066743e-05,0.0,0.08091174
2.1481283,0.00043392181396484375,0.6774057,1.1202385,0.010010004043579102,-0.0031007004,0.0,-0.14235665,1.5391951,0.00011526288837194443,0.98505837,-0.14235665,2.1481283,0.5795435,-0.13103901,0.0035262107849121094,2.3110297,-0.21682045,0.3316123,0.0,1.2135025,0.0034329891204833984,57,0.075,0.00011526288837194443,0.0,-0.11526289
1.9613229,0.0004291534423828125,0.79542565,1.333451,0.009541988372802734,0.077056445,0.0,-0.094771996,1.7680179,6.713127344846726e-05,1.0428672,-0.094771996,1.9613229,0.55040556,-0.08137035,0.003698110580444336,2.0503938,-0.122591324,0.3573832,0.0,1.3765994,0.003528118133544922,58,0.065,6.713127344846726e-05,0.0,-0.06713127
